Date,Open,High,Low,Close,Volume,AdjClose
2014-12-31,17702.12,17713.76,17450.77,17450.77,000,17450.77
2014-12-30,17702.12,17713.76,17450.77,17450.77,000,17450.77
2014-12-29,17914.55,17914.55,17525.66,17729.84,000,17729.84
2014-12-26,17778.91,17843.73,17769.01,17818.96,000,17818.96
2014-12-25,17804.84,17832.47,17773.59,17808.75,000,17808.75
2014-12-24,17842.04,17875.41,17800.42,17854.23,000,17854.23
2014-12-22,17685.53,17692.58,17572.62,17635.14,000,17635.14
2014-12-19,17511.01,17621.40,17471.60,17621.40,000,17621.40
2014-12-18,17210.05,17210.05,17210.05,17210.05,000,17210.05
2014-12-17,16689.34,16891.02,16672.94,16819.73,161300,16819.73
2014-12-16,16862.42,16895.39,16714.83,16755.32,160300,16755.32
2014-12-15,17099.40,17099.40,17099.40,17099.40,000,17099.40
2014-12-12,17317.69,17526.19,17298.19,17371.58,214500,17371.58
2014-12-11,17180.49,17289.73,17043.63,17257.40,151400,17257.40
2014-12-10,17623.35,17658.14,17308.82,17412.58,000,17412.58
2014-12-09,17813.38,17813.38,17813.38,17813.38,000,17813.38
2014-12-08,18004.66,18030.83,17869.74,17935.64,134700,17935.64
2014-12-05,17821.85,17922.29,17759.36,17920.45,128900,17920.45
2014-12-04,17881.91,17912.59,17813.01,17887.21,142200,17887.21
2014-12-03,17720.43,17720.43,17720.43,17720.43,000,17720.43
2014-12-02,17481.06,17687.70,17476.42,17663.22,125200,17663.22
2014-12-01,17475.10,17649.02,17474.27,17590.10,000,17590.10
2014-11-28,17340.16,17471.90,17330.84,17459.85,149100,17459.85
2014-11-27,17310.49,17346.85,17212.48,17248.50,000,17248.50
2014-11-26,17347.97,17432.57,17335.99,17383.58,136500,17383.58
2014-11-25,17490.39,17490.39,17372.71,17407.62,170600,17407.62
2014-11-24,17357.51,17357.51,17357.51,17357.51,000,17357.51
2014-11-21,17285.72,17381.59,17108.20,17357.51,156300,17357.51
2014-11-20,17407.69,17407.69,17270.70,17300.86,144000,17300.86
2014-11-19,17384.31,17472.57,17280.76,17288.75,170100,17288.75
2014-11-18,17188.84,17356.76,17186.50,17344.06,158100,17344.06
2014-11-17,17381.38,17409.32,16907.43,16973.80,192800,16973.80
2014-11-14,17520.54,17520.54,17300.19,17490.83,196000,17490.83
2014-11-13,17192.00,17400.77,17099.95,17392.79,159800,17392.79
2014-11-12,17253.12,17443.74,17170.00,17197.05,193300,17197.05
2014-11-11,16869.49,17160.12,16855.30,17124.11,154000,17124.11
2014-11-10,16758.27,16818.05,16713.37,16780.53,125600,16780.53
2014-11-07,16934.04,16938.20,16824.08,16880.38,153300,16880.38
2014-11-06,16993.46,17045.94,16725.45,16792.48,199000,16792.48
2014-11-05,16785.44,16995.02,16778.28,16937.32,232200,16937.32
2014-11-04,16732.85,17127.66,16720.99,16862.47,335600,16862.47
2014-10-31,15817.14,16533.91,15817.14,16413.76,268500,16413.76
2014-10-30,15596.50,15701.04,15584.83,15658.20,184100,15658.20
2014-10-29,15442.39,15595.29,15394.79,15553.91,148800,15553.91
2014-10-28,15363.28,15374.46,15263.36,15329.91,122300,15329.91
2014-10-27,15404.28,15424.05,15333.71,15388.72,121000,15388.72
2014-10-24,15354.35,15377.05,15232.00,15291.64,121800,15291.64
2014-10-23,15093.78,15232.51,15059.64,15138.96,119600,15138.96
2014-10-22,15038.19,15195.78,15001.43,15195.77,137400,15195.77
2014-10-21,15115.29,15115.29,14761.84,14804.28,143000,14804.28
2014-10-20,14822.84,15111.23,14819.69,15111.23,162000,15111.23
2014-10-17,14796.32,14830.67,14529.03,14532.51,178600,14532.51
2014-10-16,14805.16,14807.08,14672.55,14738.38,198900,14738.38
2014-10-15,15009.75,15084.61,14916.65,15073.52,152600,15073.52
2014-10-14,14936.51,14936.51,14936.51,14936.51,000,14936.51
2014-10-13,15300.55,15300.55,15300.55,15300.55,000,15300.55
2014-10-10,15292.88,15345.78,15221.83,15300.55,186100,15300.55
2014-10-09,15681.53,15732.32,15461.09,15478.93,141000,15478.93
2014-10-08,15574.60,15643.63,15520.81,15595.98,150200,15595.98
2014-10-07,15841.17,15913.52,15755.57,15783.83,134800,15783.83
2014-10-06,15882.28,15970.65,15808.22,15890.95,127600,15890.95
2014-10-03,15616.48,15708.65,15559.07,15708.65,139700,15708.65
2014-10-02,15895.20,15922.51,15646.40,15661.99,175400,15661.99
2014-10-01,16173.39,16225.96,16081.01,16082.25,137100,16082.25
2014-09-30,16252.72,16252.72,16058.72,16173.52,152500,16173.52
2014-09-29,16339.03,16344.32,16262.00,16310.64,107900,16310.64
2014-09-26,16087.95,16251.67,16087.95,16229.86,127400,16229.86
2014-09-25,16327.19,16374.14,16303.91,16374.14,148700,16374.14
2014-09-24,16105.56,16203.94,16094.59,16167.45,133300,16167.45
2014-09-22,16281.36,16299.13,16170.11,16205.90,129100,16205.90
2014-09-19,16177.94,16364.08,16170.86,16321.17,171300,16321.17
2014-09-18,16036.47,16106.11,16003.46,16067.57,143100,16067.57
2014-09-17,15948.15,15969.41,15888.67,15888.67,114700,15888.67
2014-09-16,15896.06,15938.31,15871.12,15911.53,121300,15911.53
2014-09-15,15948.29,15948.29,15948.29,15948.29,000,15948.29
2014-09-12,15885.04,15984.90,15885.04,15948.29,183400,15948.29
2014-09-11,15880.91,15925.51,15854.30,15909.20,130300,15909.20
2014-09-10,15688.55,15795.60,15664.79,15788.78,109700,15788.78
2014-09-09,15795.82,15795.82,15736.13,15749.15,106100,15749.15
2014-09-08,15718.13,15730.33,15656.40,15705.11,95600,15705.11
2014-09-05,15792.64,15792.64,15641.37,15668.68,109600,15668.68
2014-09-04,15701.61,15732.76,15663.59,15676.18,110900,15676.18
2014-09-03,15797.79,15829.38,15723.54,15728.35,137800,15728.35
2014-09-02,15526.94,15737.36,15516.50,15668.60,122600,15668.60
2014-09-01,15454.59,15478.77,15440.99,15476.60,74800,15476.60
2014-08-29,15423.88,15447.81,15356.00,15424.59,111000,15424.59
2014-08-28,15482.27,15487.99,15423.90,15459.86,99300,15459.86
2014-08-27,15556.56,15588.22,15465.99,15534.82,102200,15534.82
2014-08-26,15609.64,15613.34,15519.42,15521.22,86400,15521.22
2014-08-25,15609.43,15628.61,15553.51,15613.25,81900,15613.25
2014-08-22,15618.05,15628.78,15524.43,15539.19,102300,15539.19
2014-08-21,15530.98,15601.99,15525.78,15586.20,117700,15586.20
2014-08-20,15485.93,15492.88,15433.72,15454.45,92700,15454.45
2014-08-19,15451.94,15476.05,15429.11,15449.79,94200,15449.79
2014-08-18,15318.50,15365.35,15303.39,15322.60,77300,15322.60
2014-08-15,15317.15,15328.34,15276.99,15318.34,88700,15318.34
2014-08-14,15284.38,15338.85,15272.90,15314.57,92700,15314.57
2014-08-13,15111.76,15235.90,15108.53,15213.63,96300,15213.63
2014-08-12,15164.73,15235.98,15125.93,15161.31,89300,15161.31
2014-08-11,15022.64,15161.54,14973.71,15130.52,114600,15130.52
2014-08-08,15063.73,15074.32,14753.84,14778.37,177200,14778.37
2014-08-07,15138.72,15243.06,15061.99,15232.37,143100,15232.37
2014-08-06,15260.00,15271.14,15121.43,15159.79,135500,15159.79
2014-08-05,15506.87,15507.32,15313.84,15320.31,131500,15320.31
2014-08-04,15474.65,15535.62,15440.21,15474.50,123600,15474.50
2014-08-01,15511.54,15602.13,15501.15,15523.11,143300,15523.11
2014-07-31,15732.78,15759.66,15618.85,15620.77,154100,15620.77
2014-07-30,15616.89,15666.62,15594.89,15646.23,117500,15646.23
2014-07-29,15564.79,15632.70,15556.02,15618.07,98800,15618.07
2014-07-28,15426.98,15556.62,15426.98,15529.40,115600,15529.40
2014-07-25,15342.46,15457.87,15341.69,15457.87,119900,15457.87
2014-07-24,15350.28,15383.11,15232.14,15284.42,122000,15284.42
2014-07-23,15367.16,15376.20,15317.37,15328.56,100100,15328.56
2014-07-22,15296.42,15392.02,15287.93,15343.28,115400,15343.28
2014-07-21,15215.71,15215.71,15215.71,15215.71,000,15215.71
2014-07-18,15174.08,15220.50,15110.45,15215.71,92200,15215.71
2014-07-17,15422.87,15465.74,15347.85,15370.26,102500,15370.26
2014-07-16,15369.66,15423.96,15355.00,15379.30,98200,15379.30
2014-07-15,15354.43,15441.54,15346.09,15395.16,101000,15395.16
2014-07-14,15199.18,15324.95,15179.49,15296.82,96300,15296.82
2014-07-11,15102.59,15204.01,15101.49,15164.04,123600,15164.04
2014-07-10,15318.30,15326.78,15215.43,15216.47,112900,15216.47
2014-07-09,15194.32,15302.65,15185.32,15302.65,118300,15302.65
2014-07-08,15304.27,15389.89,15225.11,15314.41,117700,15314.41
2014-07-07,15433.49,15477.77,15379.44,15379.44,84000,15379.44
2014-07-04,15490.37,15490.37,15420.07,15437.13,108800,15437.13
2014-07-03,15435.34,15435.34,15324.32,15348.29,114200,15348.29
2014-07-02,15406.23,15444.63,15354.91,15369.97,116800,15369.97
2014-07-01,15179.64,15389.08,15145.87,15326.20,137500,15326.20
2014-06-30,15159.45,15177.87,15052.34,15162.10,102000,15162.10
2014-06-27,15290.75,15293.82,15027.31,15095.00,131000,15095.00
2014-06-26,15320.13,15345.12,15278.22,15308.49,105400,15308.49
2014-06-25,15297.24,15347.88,15265.71,15266.61,108400,15266.61
2014-06-24,15300.50,15424.57,15252.27,15376.24,122700,15376.24
2014-06-23,15419.47,15442.67,15335.88,15369.28,120000,15369.28
2014-06-20,15359.60,15422.06,15305.43,15349.42,190000,15349.42
2014-06-19,15140.35,15375.38,15138.28,15361.16,189900,15361.16
2014-06-18,15009.89,15139.99,14995.45,15115.80,118600,15115.80
2014-06-17,14962.99,15026.96,14948.54,14975.97,107400,14975.97
2014-06-16,15049.61,15056.75,14867.15,14933.29,116000,14933.29
2014-06-13,14830.99,15121.64,14830.99,15097.84,172200,15097.84
2014-06-12,14942.15,14992.96,14862.08,14973.53,132400,14973.53
2014-06-11,15000.13,15075.72,14998.63,15069.48,99500,15069.48
2014-06-10,15130.74,15184.77,14966.80,14994.80,121300,14994.80
2014-06-09,15204.31,15206.57,15116.03,15124.00,107300,15124.00
2014-06-06,15138.75,15144.34,15042.59,15077.24,134800,15077.24
2014-06-05,15112.59,15141.14,15016.81,15079.37,127900,15079.37
2014-06-04,15067.41,15071.78,14985.21,15067.96,132000,15067.96
2014-06-03,15089.04,15091.49,15026.01,15034.25,145900,15034.25
2014-06-02,14777.51,14963.91,14777.51,14935.92,130600,14935.92
2014-05-30,14707.66,14741.10,14591.62,14632.38,175300,14632.38
2014-05-29,14585.64,14714.95,14574.02,14681.72,122000,14681.72
2014-05-28,14646.93,14717.29,14608.54,14670.95,120100,14670.95
2014-05-27,14589.79,14744.16,14588.68,14636.52,129400,14636.52
2014-05-26,14592.60,14602.52,14531.32,14602.52,106900,14602.52
2014-05-23,14411.10,14528.04,14404.80,14462.17,142400,14462.17
2014-05-22,14188.28,14369.02,14147.55,14337.79,160300,14337.79
2014-05-21,13969.71,14054.24,13964.43,14042.17,121700,14042.17
2014-05-20,14088.45,14144.04,14038.06,14075.25,123100,14075.25
2014-05-19,14130.09,14150.50,13991.80,14006.44,114000,14006.44
2014-05-16,14087.76,14108.44,14016.49,14096.59,131300,14096.59
2014-05-15,14280.51,14306.36,14190.27,14298.21,132600,14298.21
2014-05-14,14385.60,14419.65,14349.87,14405.76,112700,14405.76
2014-05-13,14367.94,14464.01,14359.74,14425.44,129900,14425.44
2014-05-12,14173.49,14234.49,14130.30,14149.52,109200,14149.52
2014-05-09,14101.98,14266.29,14091.20,14199.59,125300,14199.59
2014-05-08,14136.41,14254.44,14108.16,14163.78,123000,14163.78
2014-05-07,14296.25,14299.13,14033.45,14033.45,143200,14033.45
2014-05-06,14457.51,14457.51,14457.51,14457.51,000,14457.51
2014-05-02,14454.44,14473.75,14405.77,14457.51,108600,14457.51
2014-05-01,14341.09,14493.03,14341.09,14485.13,129200,14485.13
2014-04-30,14393.51,14421.22,14275.69,14304.11,125100,14304.11
2014-04-29,14288.23,14288.23,14288.23,14288.23,000,14288.23
2014-04-28,14289.82,14324.03,14224.47,14288.23,97400,14288.23
2014-04-25,14369.72,14554.32,14327.60,14429.26,115000,14429.26
2014-04-24,14563.25,14563.25,14367.13,14404.99,106300,14404.99
2014-04-23,14480.41,14546.27,14459.29,14546.27,103200,14546.27
2014-04-22,14586.29,14604.30,14388.77,14388.77,99300,14388.77
2014-04-21,14549.45,14649.50,14503.17,14512.38,95300,14512.38
2014-04-18,14489.37,14536.67,14442.74,14516.27,78200,14516.27
2014-04-17,14395.95,14500.66,14351.85,14417.53,127900,14417.53
2014-04-16,14126.87,14420.30,14125.59,14417.68,143600,14417.68
2014-04-15,14068.75,14096.86,13969.17,13996.81,120800,13996.81
2014-04-14,13887.23,14008.29,13885.22,13910.16,121100,13910.16
2014-04-11,14027.80,14065.97,13885.11,13960.05,174700,13960.05
2014-04-10,14484.54,14513.14,14234.45,14300.12,128900,14300.12
2014-04-09,14436.05,14502.02,14279.34,14299.69,162500,14299.69
2014-04-08,14715.80,14740.10,14605.31,14606.88,130400,14606.88
2014-04-07,14880.82,14895.58,14764.37,14808.85,112800,14808.85
2014-04-04,15005.54,15098.38,15000.69,15063.77,97100,15063.77
2014-04-03,15009.18,15164.39,14976.36,15071.88,134400,15071.88
2014-04-02,14897.88,15069.61,14893.17,14946.32,162400,14946.32
2014-04-01,14870.51,14870.51,14751.29,14791.99,139200,14791.99
2014-03-31,14839.54,14843.67,14718.01,14827.83,141600,14827.83
2014-03-28,14576.25,14713.45,14520.57,14696.03,149300,14696.03
2014-03-27,14305.67,14659.85,14227.81,14622.89,179000,14622.89
2014-03-26,14521.00,14569.90,14401.42,14477.16,166600,14477.16
2014-03-25,14401.69,14531.79,14312.08,14423.19,186000,14423.19
2014-03-24,14297.58,14514.28,14287.28,14475.30,196200,14475.30
2014-03-20,14548.76,14548.76,14207.83,14224.23,158700,14224.23
2014-03-19,14496.00,14664.00,14302.00,14463.00,000,14463.00
2014-03-18,14491.00,14533.00,14400.00,14411.27,000,14411.27
2014-03-17,14254.32,14359.16,14203.21,14277.67,138000,14277.67
2014-03-14,14526.28,14539.60,14280.75,14327.66,236100,14327.66
2014-03-13,14847.72,14919.84,14790.48,14815.98,116200,14815.98
2014-03-12,15003.80,15020.14,14828.18,14830.39,141300,14830.39
2014-03-11,15179.47,15256.03,15124.36,15224.11,119100,15224.11
2014-03-10,15197.53,15266.12,15088.11,15120.14,121100,15120.14
2014-03-07,15280.76,15312.60,15145.59,15274.07,138500,15274.07
2014-03-06,14933.76,15203.12,14871.56,15134.75,150000,15134.75
2014-03-05,14905.95,14992.19,14897.63,14897.63,134000,14897.63
2014-03-04,14553.95,14750.09,14546.34,14721.48,125600,14721.48
2014-03-03,14666.93,14684.70,14443.10,14652.23,146900,14652.23
2014-02-28,14929.55,14943.65,14735.52,14841.07,160500,14841.07
2014-02-27,14939.87,15015.01,14844.37,14923.11,160300,14923.11
2014-02-26,14896.49,15084.53,14896.49,14970.97,126600,14970.97
2014-02-25,15002.51,15094.54,14957.49,15051.60,139500,15051.60
2014-02-24,14803.64,14982.53,14658.14,14837.68,159500,14837.68
2014-02-21,14618.61,14888.81,14618.61,14865.67,138700,14865.67
2014-02-20,14701.14,14731.48,14428.73,14449.18,172000,14449.18
2014-02-19,14729.48,14805.66,14679.19,14766.53,153900,14766.53
2014-02-18,14514.47,14900.24,14469.49,14843.24,206500,14843.24
2014-02-17,14343.73,14427.95,14214.60,14393.11,149000,14393.11
2014-02-14,14538.20,14678.71,14243.17,14313.03,204200,14313.03
2014-02-13,14785.84,14787.62,14488.32,14534.74,148400,14534.74
2014-02-12,14821.73,14874.79,14769.04,14800.06,165100,14800.06
2014-02-10,14647.83,14725.92,14568.30,14718.34,149800,14718.34
2014-02-07,14387.11,14471.95,14356.59,14462.41,186100,14462.41
2014-02-06,14233.42,14308.07,14155.12,14155.12,192900,14155.12
2014-02-05,14213.10,14245.06,13995.86,14180.38,280200,14180.38
2014-02-04,14353.33,14355.92,14008.47,14008.47,294300,14008.47
2014-02-03,14788.56,14846.93,14615.05,14619.13,202800,14619.13
2014-01-31,15132.23,15143.88,14764.57,14914.53,217400,14914.53
2014-01-30,15112.70,15112.70,14853.83,15007.06,221200,15007.06
2014-01-29,15164.34,15383.91,15159.92,15383.91,164800,15383.91
2014-01-28,15038.64,15088.12,14952.83,14980.16,183100,14980.16
2014-01-27,15091.45,15109.68,14933.55,15005.73,223900,15005.73
2014-01-24,15473.57,15485.02,15288.32,15391.56,221000,15391.56
2014-01-23,15900.63,15958.58,15690.45,15695.89,206900,15695.89
2014-01-22,15749.01,15870.53,15631.41,15820.96,185300,15820.96
2014-01-21,15710.89,15894.68,15705.84,15795.96,154300,15795.96
2014-01-20,15724.14,15727.26,15574.23,15641.68,000,15641.68
2014-01-17,15695.46,15783.37,15621.80,15734.46,180100,15734.46
2014-01-16,15845.15,15941.08,15710.14,15747.20,214200,15747.20
2014-01-15,15649.07,15808.73,15636.57,15808.73,185800,15808.73
2014-01-14,15657.20,15661.71,15383.69,15422.40,214500,15422.40
2014-01-13,15912.06,15912.06,15912.06,15912.06,000,15912.06
2014-01-10,15785.15,15922.14,15754.70,15912.06,237500,15912.06
2014-01-09,16002.88,16004.56,15838.44,15880.33,217400,15880.33
2014-01-08,15943.68,16121.45,15906.57,16121.45,206700,16121.45
2014-01-07,15835.41,15935.37,15784.25,15814.37,165900,15814.37
2014-01-06,16147.54,16164.01,15864.44,15908.88,192700,15908.88
